title,url,excerpt,source,thumbnail,facebook,twitter,country,status
Aha! TYD Platform,https:/goo.gl/dqd1qf,아하! TYD 플랫폼은 '개인'과 '조직'(영리/비영리/정부/비정부)이 자기 자신의 '유니크한 꿈'을 꾸고 그 꿈대로 살아가도록 돕는 플랫폼입니다.,,https://bitbucket.org/account/ahatyd/avatar/256/?ts=1452154564,,https://twitter.com/touchyourdream,우리나라,
Ask Away,https://nzelection.askaway.org.nz/,"대답하라, 국회의원",https://github.com/askaway/askaway,,https://facebook.com/askawaynz,https://twitter.com/askawaynz,뉴질랜드,
미트쉐어 meetshare,http://www.meetshare.kr,"시민공익활동지원 플랫폼 meetshare\n이런 사회에서 살고 싶다? 내가사는곳을이렇게바꾸고싶다? 마음 속에만 간직했던 당신이 꿈꾸는 세상, 3명만 모이면 보다 나은 세상을 위한 공익활동을 시작할 수 있습니다.",,,https://www.facebook.com/npocenter.seoul,https://twitter.com/meetshare,우리나라,
POODLE - POPONG API,http://data.popong.com/#api,매일 선관위와 국회 등 국가 공식 홈페이지에 업데이트 되는 정보를 수집하는 자동화 툴을 만들었습니다. 수집한 데이터는 객체마다 고유 ID를 부여하고 객체 간 유기적으로 연결하는 등 연구자 및 개발자의 편의를 위한 전처리 과정을 거친 후 데이터베이스에 저장하였습니다.,https://github.com/teampopong/popong-api,,https://www.facebook.com/teampopong,https://twitter.com/teampopong,우리나라,
국회는 지금,http://labs.popong.com/codenamu/,"18대 국회(2008-2012)의 정당별, 연령별, 지역별, 성별, 당선횟수별 좌석배치를 볼 수 있어요.",https://github.com/teampopong/labs.popong.com-codenamu,,https://www.facebook.com/teampopong,https://twitter.com/teampopong,우리나라,
정치용어집,https://github.com/teampopong/popong.com-glossary,정치 용어가 많이 어렵죠? 영문으로는 어떻게 표현해야되는지 막막하셨죠? 포퐁 정치용어집에서 빠르게 검색해보세요! (서비스는 종료하고 코드만 제공합니다.),https://github.com/teampopong/popong.com-glossary,,https://www.facebook.com/teampopong,https://twitter.com/teampopong,우리나라,
대한민국 지도 데이터형 변환,https://github.com/southkorea/southkorea-maps,"행정동을 기반으로 한 대한민국 지도를 GeoJSON, TopoJSON 등 다양한 형태로 변환하여 사용하기 쉽게 만들었습니다.",https://github.com/southkorea/southkorea-maps,,https://www.facebook.com/teampopong,https://twitter.com/teampopong,우리나라,
대한민국 정치의 모든 것,http://pokr.kr,"정치 정보를 한 곳에서, 쉽고 빠르고 재미있게\n14000명의 정치인, 52000개의 의안 정보, 회의록, 정당 정보를 손쉽게 탐색해보세요!",https://github.com/teampopong/pokr.kr,,https://www.facebook.com/teampopong,https://twitter.com/teampopong,우리나라,
지켜본다,https://play.google.com/store/apps/details?id=org.sicamp.isee,"정치인이라면 공약을 지키는게 인지상정! 우리가 지켜본다~\n당신이 뽑은 정치인, 당선 될 때 약속했던 그 공약 잘 지키고 있는지 지켜보자!",,,,,우리나라,
정재계 인맥/혼맥 DB,http://cywc.github.io,"정재계 인맥/혼맥도, 혼맥 검색기, 사이트맵, 전체 혼맥 그래프",https://github.com/cywc/cywc.github.io,,,https://twitter.com/cywcan,우리나라,
피드백7,http://www.feedback7.com,"대통령, 장관, 국회의원 등이 투자 및 베팅의 대상이 되는 게임. 정치인, 사회 유명인사, 토론방송 및 오디션 실시간 인물평가, 대학교의 교수평가, 그리고 초중고의 각 반에서 상호 피드백 등을 즐겁게 할 수 있습니다. 여러분이 직접 인물평가를 하실 그룹을 만들고, 평가해 보세요.",,,,,우리나라,
응답하라 국회의원,http://www.heycongress.org,"정말 걱정한다면, 1) 문제를 직접 해결하든지 2) 문제를 해결 할 수 있는 사람을 움직여야 합니다.\n지금 바로 여러분이 속한 지역구 의원을 독촉해주세요.",,,https://www.facebook.com/HeyCongressKR,https://twitter.com/HeyCongressKR,우리나라,
Democrats,https://www.democrats.org,미국 민주당,,,https://www.facebook.com/democrats,https://twitter.com/TheDemocrats,미국,
Democracy Earth,http://democracy.earth,"Power in your hands. A decentralized global commons of peers. For everyone, anywhere.",,,,,미국,
바르셀로나 시의회,http://ajuntament.barcelona.cat/ca/,City Council The meeting place for the management of the city,,,,,스페인,
2016년 총선 ! 당신의 선택은?,http://pingkorea.com,질문에 답하는 형식으로 답변자에게 어울리는 정당을 추천한다.,,,,,우리나라,
Open Technology Fund,https://www.opentech.fund,우리는 전세계의 인터넷 자유를 위해 펀드를 활용합니다.,,,,https://twitter.com/OpenTechFund,미국,
MONEY wins ELECTIONS,http://letsfreecongress.org,"See how money distorts your government, and what you can do about it.",,,,,미국,
